name,latitude,longitude
СОУ "Йордан Йовков",42.1628361,24.7454251
Професионална Гимназия по Електротехника и Електроника,42.1412194,24.7289298
ПГ по машиностроене,42.1197245,24.7404965
ОУ "Димитър Талев",42.1232702,24.733925
СУ „Св. Константин-Кирил Философ“,42.1282955,24.736334
СОУ "Св. Седмочисленици",42.1275006,24.7767702
СОУ "Софроний Врачански",42.130174,24.7894743
ПГСС "Васил Левски",42.1046465,25.2412597
ОУ "Св.Св. Кирил и Методий",42.1021933,25.2225924
ОУ "Петър Берон",42.1482009,24.7340464
СОУ "Кочо Честеменски",42.1465718,24.7274541
СОУ "Цар Симеон Велики",42.1504535,24.7267894
ОУ "Антим І",43.4279385,28.1603539
2 ОДЗ "Знаме на мира",43.4299877,28.1611049
Природо-математическа гимназия "Иван Вазов",43.5640123,27.8280863
ОУ "Отец Паисий",43.5667659,27.8333377
СОУ "Любен Каравелов",43.5707249,27.8488466
ОУ "Н. Й. Вапцаров",43.5740713,27.8303447
ОУ "Панайот Волов",43.5739354,27.8448383
ОУ "Йордан Йовков",43.5766013,27.8374579
СОУ "Дора Габе",43.560427,27.8479175
ОУ "Бачо Киро",43.5725067,27.8385346
СОУ Св. Климент Охридски,43.5639976,27.8423493
СОУ "Димитър Димов",42.1591491,24.7265702
СОУ "Братя Миладинови",42.1311896,24.750743
ОУ "Георги Бенковски",42.1324499,24.7627017
ПГ по туризъм "П. К. Яворов",43.5668151,27.8313693
199 Oсновно училище "Св. Ап. Йоан Богослов",42.7137513,23.3773331
СОУ "П. Р. Славейков",43.5649792,27.8212597
Езикова гимназия "Гео Милев",43.5663811,27.8193044
ОУ "Стефан Караджа",43.566604,27.8190952
ОУ "Христо Ботев",43.5700383,27.8199634
Спортно училище "Г.С. Раковски",43.565564,27.8430549
ОУ "Христо Смирненски",43.5688759,27.8330316
Хуманитарна гимназия "Св. Св. Кирил и Методий",43.573622,27.8223075
СОУ "Димитър Талев",43.5715992,27.8433042
ПУ "Д-р Петър Берон",43.568675,27.8243323
ОУ "Хан Аспарух",43.5538939,27.8327269
ОУ Св. Св. Кирил и Методий,43.2126563,27.6455663
134 СУ „Димчо Дебелянов“,42.701585,23.308482
18 СУ „Уилям Гладстон“,42.7009718,23.3122635
101 СУ Бачо Киро,42.7270381,23.2945726
СУ "Христо Смирненски",42.4258769,25.6076517
Музикално училище "Христина Морфова",42.4211871,25.6081596
ОУ "Св. Св. Кирил и Методий",43.5191461,27.7657689
Спортно училище "Тодор Каблешков",42.3983341,25.6423723
Начално училище „Кольо Ганчев“,42.3961978,25.6406191
ОУ "Св.Св.Кирил и Методий",42.262325,25.3213687
ОУ "Св. Климент Охридски",43.2956057,27.7678896
ПГ за КОС " Алеко Константинов",43.4093783,28.1429632
Софийска професионална гимназия по електроника "Джон Атанасов",42.6710528,23.3611403
16 ОУ Райко Жинзифов,42.7263222,23.2995074
СОУ Отец Паисии,41.6433674,25.3731065
Основно училище "Христо Смирненски",43.2961073,27.8535685
74 СУ Гоце Делчев,42.7366582,23.2884142
СУ за деца с нарушено зрение „Луи Брайл“,42.7377893,23.2872176
ОУ "Св. Климент Охридски",42.5828454,23.1635544
ОУ "Св. Св. Кирил и Методий",43.4161447,28.1653965
СОУ "Христо Ботев",43.4115644,28.1668384
ОУ "Христо Ботев",42.6702374,25.4070791
Училище,44.1342655,22.8486685
3 ЦДГ "Чайка",43.4138753,28.1648104
Общински Детски Комплекс,43.4069087,28.1623837
127 СОУ "Иван Денкоглу",42.6907521,23.3207477
41 ОУ "Св. Патриарх Евтимий",42.6927406,23.3164129
20-то ОУ "Тодор Минков",42.688946,23.315733
ПГ по електротехника и автоматика,42.6719521,23.2720571
СОУ "Йордан Йовков",44.0492956,26.61546
СОУ "Христо Ботев",44.0422781,26.6145999
НУ "Отец Паисий",42.1908575,24.3251681
Езикова гимназия "Бертолт Брехт",42.2006764,24.3371072
ПГ МЕТ,42.1978131,24.3255266
НУ "Г. С. Раковски",42.1912371,24.3511483
СОУ "Георги Бенковски",42.199206,24.3199909
ПГ по облекло,42.1876221,24.3272311
ОУ "Св. Св. Кирил и Методий",42.6417257,24.8016575
НУ "Васил Друмев",42.1888211,24.3366341
52 ОУ "Цанко Церковски",42.6508382,23.2646219
СОУ "Георги Брегов",42.1975485,24.3336368
7 ОУ "Христо Ботев",42.1849252,24.3373836
Проф. д-р Асен Златаров,42.1426543,24.7668359
Финансово-стопанска гимназия "Васил Левски",43.5654342,27.8333031
ПГ по текстил и кожени изделия,42.6902825,23.291183
Първо помощно училище "проф. дпн Георги Ангушев",42.7039128,23.2921956
Св. Св. Кирил и Методий,42.2320222,24.7271118
ПМГ "Св. Климент Охридски",44.1168875,27.2574489
ОУ "Христо Ботев",42.1573458,24.3108572
ОУ "Христо Ботев",42.6095391,24.9822596
ЧСОУ Рьорих,42.6276097,23.309966
ОУ  Св.Константин Кирил Философ,42.6120775,23.0654469
СОУ "Пенчо Славейков",42.1569059,24.7804729
ОУ "Никола Вапцаров",42.6418654,24.8104221
П.Г. "Евлогий и Христо Георгиеви",42.6448762,24.802349
"Васил Левски",42.6391088,24.8043373
ПГ по Транспорт,42.1466784,24.7679719
